ff_id,Ext15,Ext15_SE
1,-0.869,0.494
2,1.488,0.276
4,-0.86,0.475
5,0.031,0.425
6,-0.99,0.516
7,0.762,0.34
8,-0.653,0.483
11,-1.34,0.541
13,1.164,0.306
16,-2.048,0.629
19,0.275,0.409
20,0.741,0.331
21,1.037,0.292
22,0.503,0.374
24,-0.999,0.485
26,0.278,0.374
28,2.571,0.295
29,-0.672,0.455
30,1.27,0.313
31,-1.063,0.498
38,-0.919,0.485
41,0.575,0.368
42,-0.204,0.433
43,0.388,0.392
45,-2.048,0.629
47,0.055,0.425
48,1.155,0.297
49,-1.134,0.507
52,0.277,0.409
54,-0.053,0.431
55,-1.369,0.521
58,-0.027,0.429
59,-0.521,0.48
61,-0.174,0.436
63,0.115,0.389
66,-0.819,0.462
68,-1.61,0.576
69,-1.318,0.53
70,-0.173,0.405
71,-2.048,0.629
73,1.739,0.265
74,-1.723,0.576
75,-0.784,0.481
77,-0.784,0.481
78,1.808,0.278
79,0.016,0.401
81,1.184,0.29
82,-1.003,0.507
83,0.577,0.36
84,0.715,0.316
86,0.055,0.425
87,0.281,0.413
88,-0.774,0.478
89,0.047,0.416
91,0.513,0.364
95,-0.473,0.458
96,0.422,0.391
97,0.271,0.41
98,-0.226,0.422
100,1.91,0.276
101,-0.483,0.466
102,-1.065,0.497
103,-0.242,0.434
104,2.313,0.27
105,-0.429,0.432
106,1.319,0.304
107,0.415,0.33
109,0.405,0.401
110,0.325,0.403
112,-0.417,0.46
114,0.089,0.424
116,-0.141,0.449
117,1.988,0.27
118,0.014,0.403
120,-0.824,0.458
122,1.449,0.275
126,0.531,0.382
127,-1.353,0.54
128,1.536,0.292
130,-0.353,0.462
132,-0.31,0.451
133,1.088,0.29
135,0.693,0.36
136,1.098,0.322
137,0.1,0.423
139,1.192,0.294
144,1.233,0.283
146,-0.307,0.44
147,-0.823,0.475
148,0.324,0.397
151,1.45,0.273
156,-0.105,0.43
158,-0.965,0.491
159,0.768,0.355
160,-0.232,0.436
161,0.516,0.409
162,0.718,0.36
164,-1.17,0.502
165,1.567,0.281
166,-0.841,0.492
167,0.123,0.402
168,-0.167,0.429
170,-0.883,0.461
171,-0.314,0.435
172,0.675,0.285
173,1.385,0.278
175,0.57,0.375
178,0.289,0.377
179,1.578,0.27
181,-0.222,0.445
182,-0.384,0.421
185,0.995,0.321
187,0.861,0.31
188,0.921,0.283
190,-1.421,0.559
191,1.571,0.277
194,-1.096,0.497
195,0.481,0.392
197,0.483,0.391
198,1.409,0.293
200,2.195,0.274
202,-0.203,0.436
203,1.947,0.269
204,0.178,0.409
205,0.672,0.346
207,0.678,0.353
209,0.48,0.376
210,0.653,0.357
211,1.163,0.329
212,0.903,0.359
216,0.152,0.411
217,0.071,0.424
218,0.733,0.353
219,-1.39,0.544
221,0.374,0.408
222,-0.139,0.425
227,-0.219,0.417
228,1.327,0.28
231,-2.048,0.629
232,-0.327,0.424
237,-0.104,0.381
238,0.634,0.36
239,1.104,0.311
242,-0.535,0.457
243,1.558,0.273
244,0.18,0.425
245,1.652,0.269
246,1.222,0.307
248,-1.817,0.593
249,1.146,0.281
250,0.93,0.28
251,1.276,0.29
252,0.328,0.433
253,-0.375,0.456
254,-1.13,0.496
255,1.687,0.281
259,0.109,0.423
263,1.457,0.286
267,-0.495,0.441
269,0.834,0.347
271,0.324,0.402
272,0.348,0.406
274,2.301,0.275
275,-0.677,0.459
276,0.841,0.335
277,0.921,0.334
278,1.623,0.267
279,1.528,0.296
280,0.188,0.402
281,0.767,0.303
287,-0.584,0.456
288,0.348,0.406
291,-0.834,0.463
292,1.543,0.284
293,-0.516,0.448
294,0.959,0.335
295,1.922,0.283
296,1.495,0.278
297,1.414,0.311
298,0.396,0.398
299,0.185,0.391
301,0.878,0.284
302,1.002,0.316
304,0.796,0.341
305,-0.036,0.43
306,1.21,0.314
307,-0.141,0.449
309,0.838,0.324
312,-0.86,0.475
313,0.062,0.421
315,1.25,0.295
317,-1.134,0.507
318,-1.178,0.529
319,-0.698,0.442
320,-0.838,0.479
321,0.101,0.411
322,0.735,0.335
325,0.84,0.341
326,0.883,0.333
327,0.614,0.371
330,1.397,0.289
331,-0.699,0.483
332,-1.594,0.564
334,-0.699,0.466
335,0.23,0.395
336,0.961,0.302
337,-1.514,0.55
339,0.68,0.285
340,-0.356,0.431
342,1.792,0.258
343,1.255,0.307
344,-0.636,0.467
346,-0.109,0.415
348,1.14,0.282
349,0.046,0.413
351,0.526,0.372
353,0.279,0.399
354,0.733,0.343
355,1.027,0.305
357,0.98,0.333
358,0.557,0.348
360,0.755,0.345
364,0.502,0.392
366,-2.048,0.629
367,1.058,0.283
368,0.729,0.316
369,0.558,0.36
371,-2.048,0.629
375,0.644,0.373
376,-0.273,0.455
377,-0.484,0.459
378,0.44,0.384
379,0.177,0.415
380,-0.54,0.446
381,-0.8,0.497
383,-0.896,0.493
385,0.229,0.411
386,0.365,0.4
388,-0.643,0.443
389,-0.361,0.469
390,0.433,0.385
391,-0.077,0.431
392,0.521,0.366
395,-0.522,0.447
397,-1.133,0.514
398,2.424,0.284
399,0.396,0.401
401,-0.603,0.485
402,0.024,0.401
403,0.85,0.344
404,0.274,0.397
405,1.179,0.29
407,0.036,0.491
408,1.02,0.281
409,0.225,0.409
410,0.995,0.317
411,-0.31,0.449
412,2.382,0.275
413,0.575,0.379
414,-0.141,0.449
415,-0.018,0.426
417,-1.379,0.523
421,-2.048,0.629
423,0.205,0.417
425,-0.139,0.406
426,1.135,0.302
428,1.014,0.318
429,-0.68,0.478
435,1.335,0.273
437,0.524,0.356
439,-1.061,0.515
441,-0.315,0.425
442,-1.562,0.541
443,0.205,0.417
444,-2.048,0.629
445,-0.032,0.417
446,-0.54,0.446
448,-0.371,0.439
450,0.502,0.391
452,-0.625,0.475
453,0.707,0.367
454,1.231,0.292
455,-0.015,0.404
458,-0.883,0.506
459,-1.213,0.532
460,-0.294,0.453
461,-0.547,0.465
462,0.681,0.331
464,-1.817,0.593
465,-0.959,0.506
470,0.396,0.388
471,-1.425,0.537
472,0.348,0.406
473,-0.555,0.479
474,-0.21,0.455
475,-0.193,0.418
478,-0.089,0.417
479,-1.035,0.49
480,-0.294,0.444
481,-0.356,0.425
482,-0.263,0.452
483,-0.105,0.417
484,-1.353,0.54
487,0.205,0.417
489,-0.711,0.494
491,-1.369,0.521
492,-0.14,0.446
493,0.882,0.32
495,-2.048,0.629
496,-0.485,0.461
499,0.492,0.354
503,-1.065,0.497
504,-2.048,0.629
505,-0.081,0.431
506,-1.003,0.507
507,1.009,0.303
509,0.468,0.394
510,-0.036,0.43
512,1.671,0.263
513,-0.676,0.475
515,1.89,0.279
516,-0.535,0.444
517,-0.321,0.423
518,0.248,0.407
519,0.448,0.383
522,-1.529,0.562
524,0.595,0.373
525,-0.817,0.485
526,-0.053,0.431
527,-0.609,0.444
528,0.072,0.338
532,-1.067,0.492
533,-1.035,0.49
535,0.98,0.317
538,0.287,0.41
539,-2.048,0.629
541,1.298,0.312
542,-1.249,0.518
544,-0.675,0.485
545,1.2,0.297
546,0.388,0.386
548,-1.536,0.552
550,-0.742,0.474
551,-1.514,0.55
552,-0.6,0.469
555,-1.213,0.532
557,2.027,0.267
558,0.602,0.37
560,0.491,0.379
561,0.477,0.362
562,0.179,0.416
564,-1.421,0.559
565,-1.134,0.507
567,0.232,0.416
568,0.205,0.417
570,1.395,0.27
571,-1.334,0.539
573,1.006,0.278
575,-0.949,0.473
576,-0.682,0.468
578,1.626,0.288
579,0.412,0.392
581,-0.163,0.454
582,-1.04,0.496
583,0.423,0.381
584,-0.228,0.441
586,0.177,0.414
587,0.518,0.366
588,-1.178,0.529
589,-1.195,0.522
591,-1.61,0.576
593,0.535,0.354
595,0.252,0.411
596,-0.547,0.465
600,1.172,0.309
601,-0.159,0.429
603,0.029,0.413
604,0.009,0.425
605,0.043,0.415
608,0.91,0.303
609,-0.608,0.466
610,-1.313,0.528
612,0.164,0.401
613,1.666,0.289
614,0.428,0.372
617,-0.137,0.416
619,0.412,0.392
622,-0.475,0.453
623,0.273,0.4
625,1.064,0.331
626,-0.414,0.461
627,0.082,0.44
628,-0.999,0.485
632,0.205,0.417
634,0.385,0.413
635,1.11,0.279
636,-0.275,0.428
637,0.896,0.323
638,-0.335,0.427
640,1.387,0.294
642,-0.548,0.462
643,-0.035,0.424
646,-0.957,0.506
647,0.24,0.426
648,-0.454,0.427
649,0.269,0.41
650,1.25,0.286
651,-0.854,0.493
653,1.152,0.273
656,-1.461,0.54
657,1.117,0.304
658,1.34,0.273
659,1.321,0.299
661,-0.249,0.405
662,0.932,0.349
663,-0.784,0.481
664,1.217,0.304
665,-0.734,0.47
666,0.104,0.426
669,0.195,0.406
671,0.962,0.306
672,-0.056,0.426
673,1.514,0.297
674,-1.61,0.576
675,0.732,0.362
676,0.471,0.358
677,0.531,0.375
679,-0.01,0.433
680,-0.278,0.422
681,1.537,0.28
682,1.632,0.298
685,-0.119,0.441
686,-0.16,0.441
687,0.958,0.326
688,0.52,0.382
690,-0.081,0.428
691,-0.162,0.418
692,1.167,0.304
693,-0.004,0.434
694,0.643,0.318
697,1.122,0.282
699,2.006,0.282
700,-0.22,0.44
701,-0.144,0.417
702,0.801,0.31
703,2.443,0.283
704,-0.172,0.43
