ff_id,Ext9,Ext9_SE
2,0.975,0.243
4,-0.118,0.332
5,1.61,0.204
6,-0.836,0.471
7,1.333,0.227
8,0.481,0.257
11,-1.12,0.582
19,0.729,0.251
20,0.65,0.264
22,-1.203,0.582
23,-0.11,0.324
24,-0.134,0.328
31,0.655,0.252
34,-0.035,0.311
38,1.033,0.232
42,1.004,0.227
43,-1.203,0.582
44,-0.836,0.471
45,-0.262,0.362
46,-0.25,0.343
47,-1.203,0.582
49,-1.203,0.582
52,-0.078,0.319
56,0.007,0.312
58,0.038,0.308
59,0.614,0.253
63,-0.637,0.423
66,-1.203,0.582
68,-1.203,0.582
69,0.447,0.259
73,1.71,0.211
74,0.458,0.25
75,0.353,0.283
77,0.488,0.27
83,-1.203,0.582
86,0.263,0.281
87,-1.203,0.582
88,0.608,0.256
89,-1.203,0.582
90,0,0.319
91,0.614,0.253
93,0.1,0.308
95,-0.971,0.52
96,-0.695,0.439
97,-0.105,0.325
98,0.254,0.274
*,1.06,0.231
100,1.372,0.228
101,0.959,0.239
102,1.499,0.213
103,0.403,0.276
104,0.846,0.248
105,0.002,0.303
106,-0.474,0.391
107,-0.659,0.417
109,-0.836,0.471
110,0.722,0.334
112,0.169,0.295
116,-0.836,0.471
117,0.897,0.226
118,0.254,0.295
122,0.14,0.287
123,0.475,0.255
125,0.231,0.286
126,-0.499,0.393
127,-1.203,0.582
128,-0.823,0.465
130,-1.203,0.582
132,0.163,0.299
133,-0.769,0.448
135,-1.203,0.582
137,0.012,0.308
139,0.304,0.275
144,-0.991,0.518
146,-1.203,0.582
147,-0.42,0.384
148,-0.078,0.307
149,0.796,0.252
150,0.363,0.285
151,-0.616,0.407
152,-0.42,0.388
156,0.547,0.276
158,0.428,0.277
159,0.853,0.245
160,0.158,0.293
161,0.638,0.257
162,0.33,0.282
164,-0.548,0.397
165,1.111,0.234
166,-0.616,0.426
168,-0.068,0.325
171,0.991,0.243
172,-1.203,0.582
175,0.495,0.276
177,0.834,0.246
179,1.225,0.227
181,0.036,0.3
182,0.609,0.26
183,-1.203,0.582
185,-0.341,0.363
187,-1.203,0.582
191,-1.203,0.582
195,0.655,0.259
197,0.996,0.241
198,0.931,0.235
200,0.736,0.243
202,0.507,0.258
203,-0.156,0.33
204,2.299,0.208
205,1.581,0.215
206,0.556,0.267
207,-1.203,0.582
210,-0.105,0.322
213,-0.269,0.345
216,-1.203,0.582
217,-1.203,0.582
218,0.948,0.245
219,-0.581,0.41
221,-0.654,0.419
222,0.154,0.289
226,-0.082,0.326
228,1.007,0.235
230,-1.203,0.582
231,0.203,0.32
232,1.291,0.227
234,-0.169,0.342
237,-0.239,0.342
238,0.476,0.274
239,0.301,0.282
242,-0.991,0.518
243,1.33,0.219
244,-1.203,0.582
245,0.633,0.262
246,-0.836,0.471
248,0.411,0.275
249,-0.15,0.33
250,0.358,0.271
252,0.578,0.338
253,-1.203,0.582
258,-0.179,0.336
263,0.786,0.248
264,-0.721,0.437
267,0.619,0.27
269,0.345,0.283
271,0.416,0.261
272,-0.454,0.379
274,2.055,0.209
275,-1.203,0.582
276,-0.616,0.407
277,1.466,0.224
278,0.278,0.285
279,-0.067,0.308
280,-0.01,0.322
285,0.28,0.282
287,-0.086,0.334
288,-1.203,0.582
289,0.686,0.256
291,-0.222,0.339
292,1.023,0.239
293,-1.203,0.582
294,-1.203,0.582
295,0.601,0.263
296,0.2,0.286
297,-0.091,0.326
298,-0.182,0.337
299,0.327,0.276
301,0.7,0.233
304,-1.203,0.582
312,-1.203,0.582
313,0.748,0.243
315,-1.203,0.582
317,0.255,0.285
318,1.077,0.239
319,0.897,0.24
320,-1.203,0.582
321,-1.203,0.582
322,2.333,0.208
324,0.144,0.298
325,0.678,0.248
326,1.356,0.224
327,0.095,0.305
331,0.043,0.316
333,-1.203,0.582
335,0.764,0.257
336,0.576,0.262
339,-1.203,0.582
340,1.984,0.211
341,0.412,0.28
342,-0.057,0.307
343,-0.239,0.346
344,-1.203,0.582
345,-0.616,0.407
346,-0.621,0.407
347,-1.203,0.582
348,-0.063,0.322
349,-0.836,0.471
352,0.915,0.244
353,0.472,0.276
354,-0.991,0.518
357,2.131,0.205
358,-0.606,0.423
359,-0.028,0.318
360,0.962,0.246
361,-0.707,0.43
362,0.335,0.279
364,-1.203,0.582
366,0.525,0.273
367,1.222,0.226
368,0.768,0.246
369,-1.203,0.582
371,1.478,0.214
372,0.367,0.275
373,-0.622,0.424
374,0.393,0.256
375,-0.991,0.518
376,-0.299,0.357
377,-0.244,0.331
378,-1.203,0.582
379,0.327,0.281
380,0.013,0.314
381,-1.203,0.582
384,0.025,0.311
385,-0.582,0.413
386,0.115,0.308
388,0.416,0.282
389,0.266,0.279
390,0.117,0.3
391,0.065,0.317
393,0.643,0.253
394,-0.171,0.341
395,-0.203,0.342
396,-0.454,0.384
397,0.194,0.301
398,-0.082,0.326
399,0.979,0.241
401,-0.11,0.312
402,-0.823,0.465
403,0.997,0.228
404,-0.212,0.341
405,0.65,0.261
407,2.572,0.209
408,-0.139,0.322
409,-0.171,0.341
410,0.479,0.263
412,0.865,0.243
413,-0.296,0.354
414,-1.203,0.582
415,-0.178,0.334
417,-0.991,0.518
421,0.473,0.269
423,0.065,0.291
425,0.216,0.282
426,-0.275,0.349
427,1.713,0.209
428,-0.163,0.337
429,0.183,0.292
430,0.3,0.298
438,-0.991,0.518
441,-0.041,0.318
442,-0.449,0.381
443,0.076,0.311
444,1.375,0.22
445,-0.3,0.35
446,0.571,0.26
448,-0.836,0.471
450,-0.014,0.314
451,0.628,0.25
452,-0.078,0.324
453,0.76,0.245
454,0.355,0.281
455,1.57,0.218
458,0.23,0.289
459,-0.174,0.333
460,0.455,0.279
461,0.721,0.257
462,1.644,0.21
464,-0.383,0.368
465,-1.203,0.582
470,-0.356,0.368
472,0.223,0.296
473,0.147,0.289
475,0.152,0.292
479,-0.355,0.357
480,0.766,0.248
481,-0.092,0.322
482,-1.203,0.582
483,0.32,0.287
484,-0.219,0.337
489,-0.622,0.424
491,-0.474,0.391
493,1.424,0.217
495,1.186,0.235
496,0.57,0.263
499,-0.217,0.344
500,0.403,0.275
503,0.577,0.26
504,0.582,0.266
505,-0.65,0.414
506,-1.203,0.582
510,-1.203,0.582
514,0.054,0.311
515,-0.183,0.339
516,0.565,0.27
517,-0.823,0.465
518,0.536,0.263
519,1.157,0.232
522,-1.203,0.582
524,1.444,0.221
525,0.232,0.283
526,0.962,0.243
527,-0.548,0.385
528,1.436,0.213
531,0.698,0.246
532,0.834,0.248
533,0.905,0.247
534,-0.991,0.518
535,0.254,0.289
536,0.158,0.319
537,-0.991,0.518
538,1.204,0.23
539,-0.688,0.427
541,-1.203,0.582
544,0.722,0.258
545,0.027,0.316
550,0.494,0.269
552,0.938,0.236
557,1.332,0.215
558,0.876,0.245
560,1.191,0.23
561,-0.45,0.376
562,0.341,0.285
564,-1.203,0.582
565,-0.663,0.418
566,0.401,0.28
568,0.975,0.229
573,-0.378,0.359
575,-0.391,0.378
578,0.15,0.28
579,-0.721,0.437
582,-0.327,0.355
583,0.661,0.259
584,-1.203,0.582
585,-0.055,0.322
586,-0.836,0.471
587,-1.203,0.582
588,0.201,0.295
589,-0.466,0.381
590,-1.203,0.582
593,-0.823,0.465
595,-0.459,0.379
598,-0.564,0.427
599,-1.203,0.582
600,-0.286,0.357
602,-0.654,0.419
603,0.454,0.273
604,0.033,0.306
605,0.269,0.277
610,0.962,0.241
611,0.393,0.275
613,-1.203,0.582
614,1.537,0.218
616,-0.456,0.378
617,0.95,0.242
619,-1.203,0.582
622,-0.42,0.384
623,0.775,0.248
625,-0.823,0.465
626,0.947,0.24
627,0.215,0.29
628,-0.991,0.518
629,0.643,0.259
632,-1.203,0.582
634,0.066,0.3
635,0.903,0.225
636,0.294,0.294
637,-0.168,0.328
640,0.849,0.254
643,-1.203,0.582
646,0.158,0.301
647,-0.686,0.434
648,-0.21,0.341
649,0.11,0.305
650,0.073,0.293
651,-0.654,0.419
653,0.194,0.302
656,-0.143,0.337
657,0.03,0.303
658,1.057,0.225
659,1.024,0.239
660,-0.023,0.327
661,1.58,0.216
662,-0.333,0.362
663,-1.203,0.582
664,-0.769,0.448
666,-0.427,0.359
667,-0.223,0.341
668,0.21,0.28
669,-0.133,0.327
671,0.321,0.282
672,1.313,0.226
674,0.11,0.305
675,-1.203,0.582
676,0.615,0.249
677,-1.203,0.582
679,0.536,0.258
680,1.792,0.207
682,-0.616,0.407
683,0.155,0.309
685,-0.108,0.316
