ff_id,Ext,Ext_SE
1,-0.884,0.508
2,1.578,0.254
4,-0.875,0.489
5,-0.006,0.429
6,-1.001,0.53
7,0.755,0.329
8,-0.676,0.495
11,-1.354,0.558
13,1.082,0.296
16,-2.049,0.642
19,0.225,0.41
20,0.771,0.318
21,1.038,0.281
22,0.492,0.367
24,-1.014,0.501
26,0.279,0.37
28,2.339,0.259
29,-0.645,0.459
30,1.202,0.3
31,-1.077,0.514
38,-0.907,0.496
41,0.567,0.359
42,-0.231,0.44
43,0.355,0.389
45,-2.049,0.642
47,0.015,0.428
48,1.503,0.257
49,-1.147,0.523
52,0.224,0.41
54,-0.086,0.435
55,-1.253,0.514
58,-0.062,0.433
59,-0.541,0.49
61,-0.204,0.442
63,0.162,0.383
66,-0.711,0.457
68,-1.621,0.592
69,-1.335,0.548
70,-0.135,0.404
71,-2.049,0.642
73,1.788,0.246
74,-1.73,0.592
75,-0.803,0.494
77,-0.803,0.494
78,1.846,0.252
79,0.282,0.373
81,1.148,0.28
82,-1.022,0.523
83,0.578,0.351
84,0.874,0.293
86,0.015,0.428
87,0.24,0.412
88,-0.764,0.488
89,0.331,0.378
91,0.532,0.353
95,-0.426,0.457
96,0.4,0.385
97,0.261,0.404
98,0.319,0.36
100,2.328,0.236
101,-0.504,0.476
102,-0.975,0.495
103,-0.267,0.441
104,2.302,0.243
105,-0.326,0.427
106,1.373,0.281
107,0.435,0.325
109,0.604,0.357
110,0.283,0.402
112,-0.441,0.469
114,0.046,0.427
116,-0.175,0.454
117,2.073,0.245
118,0.064,0.396
120,-0.838,0.473
122,1.492,0.257
126,0.682,0.348
127,-1.368,0.557
128,1.463,0.277
130,-0.38,0.47
132,-0.338,0.459
133,1.174,0.273
135,0.665,0.352
136,1.168,0.297
137,0.058,0.426
139,1.157,0.282
144,1.19,0.271
146,-0.282,0.441
147,-0.751,0.474
148,0.328,0.389
151,1.607,0.249
156,-0.136,0.435
158,-0.98,0.506
159,0.728,0.347
160,-0.257,0.443
161,0.439,0.407
162,0.684,0.352
164,-1.184,0.519
165,1.773,0.251
166,-0.855,0.506
167,0.141,0.398
168,-0.143,0.428
170,-0.813,0.463
171,-0.319,0.441
172,0.69,0.279
173,1.442,0.26
