ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE
1,-0.963,0.452,-0.175,0.979,-0.011,0.361
2,-0.214,0.47,-0.94,0.463,-0.471,0.328
4,-0.6,0.452,0.066,0.525,-1.64,0.296
5,-0.85,0.45,0.742,0.657,-1.127,0.317
6,-0.478,0.464,-0.971,0.492,0.715,0.423
7,-0.585,0.851,-0.169,0.988,-1.055,0.321
8,-1.062,0.438,0.23,0.563,-0.38,0.335
11,-0.278,0.463,-0.933,0.503,-0.869,0.321
13,-0.657,0.448,-0.162,0.979,-0.712,0.328
16,1.276,0.692,0.331,0.986,1.664,0.609
19,-0.885,0.45,-0.086,0.501,-1.15,0.311
20,-2.439,0.487,-0.919,0.467,-1.161,0.31
21,0.725,0.583,0.121,0.982,-0.16,0.356
22,0.284,0.514,0.858,0.676,-0.392,0.326
23,0.066,0.985,0.307,0.574,0.049,0.991
24,0.926,0.613,-0.298,0.502,0.684,0.426
26,-0.92,0.447,-0.645,0.473,-0.773,0.32
28,0.415,0.528,0.1,0.981,0.42,0.39
29,-0.142,0.473,-0.815,0.478,0.174,0.377
30,-1.466,0.431,-0.364,0.979,-1.65,0.297
31,-0.472,0.456,-0.104,0.492,0.41,0.403
34,-0.026,0.983,-0.123,0.515,-0.02,0.991
38,-0.345,0.466,-1.155,0.452,-1.191,0.314
41,-0.953,0.44,-0.066,0.502,0.346,0.381
42,0.709,0.578,0.895,0.683,-0.41,0.33
43,0.439,0.543,-0.461,0.473,-1.201,0.308
44,-0.036,0.983,-0.167,0.511,-0.027,0.99
45,1.241,0.681,-0.034,0.539,1.647,0.605
46,0.066,0.985,0.307,0.574,0.049,0.991
47,-2.141,0.443,-1.111,0.452,-1.507,0.307
48,-0.378,0.468,0.769,0.661,-1.582,0.295
49,1.139,0.654,0.537,0.594,1.195,0.508
52,0.207,0.509,0.03,0.518,-0.575,0.328
54,0.712,0.58,0.116,0.982,-0.211,0.332
55,-0.881,0.447,-0.259,0.979,-1.653,0.306
56,-0.183,0.982,-0.855,0.463,-0.137,0.99
58,0.704,0.577,0.475,0.587,-0.326,0.336
59,1.164,0.666,-0.861,0.453,1.61,0.598
61,-0.107,0.475,-0.008,0.98,0.184,0.373
63,-0.017,0.47,0.331,0.555,0.12,0.372
66,0.611,0.565,-0.582,0.467,-0.443,0.338
68,1.011,0.628,0.129,0.524,0.872,0.452
69,-0.106,0.474,0.835,0.672,-0.018,0.356
70,0.194,0.484,0.119,0.981,1.392,0.553
71,1.244,0.681,-0.006,0.495,1.648,0.605
73,0.016,0.483,-0.955,0.452,-0.911,0.312
74,0.633,0.568,-1.261,0.487,-0.192,0.345
75,0.136,0.487,-0.433,0.474,-0.118,0.35
77,-0.159,0.472,-0.431,0.505,-0.271,0.337
78,-2.877,0.533,-0.67,0.981,-2.505,0.291
79,0.919,0.614,0.198,0.983,0.538,0.403
81,-0.143,0.474,-0.027,0.98,-0.024,0.36
82,0.201,0.51,0,0.98,-0.6,0.331
83,0.109,0.488,-0.261,0.504,-0.565,0.325
84,-0.573,0.462,-0.107,0.98,-0.066,0.34
86,0.702,0.577,0.893,0.683,-0.437,0.329
87,0.336,0.501,0.884,0.681,0.361,0.394
88,0.037,0.483,-0.218,0.497,-0.714,0.317
89,-0.789,0.442,-0.181,0.53,-0.419,0.341
90,-0.135,0.982,-0.633,0.472,-0.101,0.99
91,-0.299,0.468,-0.991,0.453,-0.954,0.32
93,0.185,0.988,0.865,0.684,0.139,0.993
95,-0.709,0.451,0.205,0.534,-0.021,0.351
