ff_id,Int9,Int9_SE
2,-0.204,0.486
4,0.389,0.386
5,2.222,0.273
6,-0.524,0.556
7,1.85,0.259
8,1.171,0.302
11,-1.008,0.674
19,0.932,0.314
20,0.268,0.394
22,-1.008,0.674
23,-0.39,0.539
24,0.81,0.321
31,1.731,0.267
34,-0.063,0.468
38,0.869,0.318
42,0.971,0.316
43,-0.941,0.684
44,-0.272,0.503
45,-0.467,0.539
46,-1.008,0.674
47,-1.008,0.674
49,0.541,0.352
52,-0.632,0.584
56,0.212,0.408
58,0.702,0.34
59,0.458,0.374
63,0.3,0.405
66,-1.008,0.674
68,-0.591,0.571
69,0.747,0.333
73,1.403,0.276
74,1.309,0.279
75,-1.008,0.674
77,0.009,0.448
83,-1.008,0.674
86,0.126,0.429
87,-0.164,0.464
88,1.129,0.315
89,-0.632,0.584
90,-0.983,0.676
91,0.89,0.325
93,-0.063,0.468
95,0.345,0.393
96,0.499,0.377
97,0.408,0.366
98,-0.591,0.571
*,-0.373,0.513
100,1.79,0.275
101,-0.139,0.469
102,-0.242,0.509
103,1.069,0.319
104,-1.008,0.674
105,0.004,0.447
106,-1.008,0.674
107,-0.434,0.543
109,-1.008,0.674
110,0.318,0.587
112,0.506,0.368
116,-1.008,0.674
117,1.126,0.305
118,0.764,0.341
122,-0.471,0.569
123,-1.008,0.674
125,1.144,0.297
126,-0.632,0.584
127,-1.008,0.674
128,-1.008,0.674
130,-0.514,0.553
132,-0.134,0.484
133,0.476,0.379
135,-1.008,0.674
137,0.391,0.389
139,0.841,0.323
144,0.056,0.427
146,-1.008,0.674
147,0.772,0.337
148,-1.008,0.674
149,0.947,0.314
150,1.366,0.29
151,-1.008,0.674
152,0.101,0.431
156,0.542,0.354
158,0.943,0.321
159,1.017,0.306
160,1.041,0.309
161,2.023,0.256
162,0.023,0.44
164,-0.632,0.584
165,1.321,0.287
166,0.659,0.348
168,0.735,0.334
171,0.857,0.322
172,-0.467,0.539
175,-0.218,0.489
177,-0.128,0.468
179,0.304,0.387
181,-1.008,0.674
182,0.15,0.423
183,0.557,0.359
185,-0.161,0.458
187,-0.524,0.556
191,-1.008,0.674
195,0.631,0.352
197,0.608,0.349
198,0.379,0.396
200,0.509,0.371
202,0.645,0.35
203,0.824,0.324
204,0.909,0.319
205,0.163,0.411
206,0.268,0.403
207,-0.19,0.487
210,-0.524,0.556
213,-0.241,0.496
