ff_id,Int,Int_SE
1,0.837,0.306
2,-0.115,0.349
4,0.929,0.315
5,0.847,0.314
6,-0.729,0.502
7,0.264,0.317
8,-0.459,0.41
11,-1.207,0.623
13,-0.168,0.371
16,-1.207,0.623
19,0.524,0.327
20,1.962,0.322
21,-1.378,0.624
22,0.158,0.364
24,-1.378,0.624
26,0.135,0.345
28,-0.491,0.426
29,-1.378,0.624
30,1.727,0.317
31,0.014,0.354
38,0.757,0.311
41,-0.219,0.38
42,0.105,0.353
43,-0.2,0.363
45,-1.378,0.624
47,1.285,0.317
48,1.22,0.31
49,-0.195,0.402
52,0.956,0.318
54,-0.365,0.391
55,0.068,0.326
58,-0.016,0.352
59,0.168,0.365
61,-0.346,0.393
63,-0.679,0.447
66,-1.378,0.624
68,-1.378,0.624
69,-0.227,0.375
70,-1.378,0.624
71,-1.378,0.624
73,1.263,0.314
74,-1.045,0.536
75,-0.852,0.503
77,0.291,0.318
78,1.227,0.307
79,-0.407,0.417
81,0.226,0.334
82,-0.085,0.349
83,0.061,0.325
84,1.524,0.323
86,0.611,0.318
87,-0.489,0.415
88,0.628,0.309
89,0.271,0.34
91,1.235,0.314
95,-0.206,0.359
96,1.196,0.311
97,1.857,0.319
98,1.091,0.309
100,0.931,0.318
101,-0.49,0.418
102,-0.393,0.419
103,0.637,0.297
104,0.177,0.327
105,0.876,0.314
106,-0.155,0.378
107,1.622,0.313
109,-0.359,0.392
110,0.294,0.333
112,0.251,0.347
114,-0.132,0.364
116,-0.497,0.408
117,1.115,0.317
118,0.728,0.321
120,-1.045,0.536
122,0.383,0.342
126,-0.821,0.498
127,-0.671,0.464
128,1.445,0.322
130,-0.622,0.455
132,0.17,0.355
133,-0.473,0.421
135,0.243,0.319
136,-0.101,0.363
137,1.421,0.312
139,-0.153,0.369
144,0.242,0.321
146,0.646,0.308
147,0.394,0.336
148,-0.196,0.394
151,0.035,0.34
156,-0.852,0.503
158,-0.891,0.507
159,1.548,0.32
160,-0.415,0.41
161,2.103,0.338
162,0.918,0.326
164,-0.423,0.386
165,0.212,0.351
166,0.989,0.321
167,0.336,0.338
168,1.527,0.324
170,1.388,0.312
171,-0.974,0.525
172,-1.378,0.624
173,-0.095,0.359
175,-0.445,0.414
178,-1.045,0.536
179,0.147,0.337
181,1.356,0.311
182,-1.378,0.624
185,-0.68,0.471
187,1.344,0.324
188,-0.677,0.462
190,-1.378,0.624
191,0.498,0.315
194,-1.378,0.624
195,0.351,0.327
197,-0.182,0.367
198,0.005,0.366
200,0.913,0.314
202,-0.029,0.353
203,0.635,0.319
204,-0.243,0.403
205,-0.627,0.429
207,0.879,0.325
209,-0.677,0.462
210,-0.005,0.363
211,0.25,0.345
212,0.337,0.341
216,1.136,0.306
217,0.937,0.312
218,0.319,0.319
219,-1.378,0.624
221,0.826,0.331
222,-0.109,0.351
227,-1.045,0.536
228,0.138,0.356
231,-1.046,0.531
232,-0.802,0.461
237,0.511,0.34
238,0.288,0.325
239,0.716,0.306
242,-0.386,0.403
243,0.236,0.348
244,1.079,0.311
245,0.893,0.316
246,0.798,0.325
248,-1.378,0.624
249,0.093,0.349
250,-0.852,0.503
251,0.06,0.362
252,0.889,0.323
253,-0.137,0.386
254,-0.127,0.341
255,1.381,0.318
259,0.735,0.31
263,0.485,0.329
267,0.924,0.316
269,0.981,0.311
271,1.326,0.307
272,1.024,0.311
274,0.215,0.345
275,-0.213,0.367
276,-0.366,0.406
277,-0.051,0.337
278,0.695,0.298
279,0.453,0.324
280,0.623,0.313
281,-0.833,0.488
287,1.39,0.312
288,1.283,0.317
291,0.4,0.325
292,1.164,0.318
293,-0.852,0.503
294,0.212,0.352
295,-0.612,0.519
296,0.475,0.307
297,1.672,0.315
298,0.601,0.338
299,1.074,0.304
301,-0.605,0.436
302,-0.346,0.408
304,0.818,0.301
305,-0.891,0.507
306,0.591,0.332
307,0.765,0.326
309,0.809,0.307
312,-1.046,0.531
313,0.907,0.309
315,0.38,0.343
317,0.27,0.321
318,-0.852,0.503
319,-1.378,0.624
320,0.892,0.309
321,0.229,0.321
322,1.137,0.316
325,2.043,0.332
326,0.262,0.35
327,0.157,0.345
330,0.329,0.337
331,0.449,0.323
332,-1.378,0.624
334,-0.15,0.37
335,-0.833,0.488
336,1.004,0.317
337,-1.095,0.548
339,0.879,0.31
340,0.124,0.331
342,-0.407,0.417
343,0.594,0.308
344,-0.852,0.503
346,0.021,0.345
348,-0.173,0.369
349,0.031,0.364
351,-0.002,0.336
353,0.678,0.318
354,0.354,0.322
355,-0.208,0.363
357,-0.123,0.37
358,-0.75,0.465
360,0.834,0.32
364,-0.131,0.378
366,-0.676,0.465
367,-0.474,0.408
368,0.235,0.349
369,-0.501,0.431
371,1.311,0.312
375,0.828,0.319
376,0.012,0.349
377,-1.378,0.624
378,0.039,0.332
379,-1.045,0.536
380,0.002,0.356
381,0.745,0.322
383,-0.232,0.389
385,-0.033,0.36
386,0.284,0.337
388,-0.974,0.525
389,-0.683,0.445
390,-0.322,0.412
391,-0.802,0.461
392,1.504,0.319
395,-1.378,0.624
397,0.493,0.322
398,-0.135,0.368
399,0.072,0.335
401,-1.378,0.624
402,1.681,0.317
403,0.961,0.32
404,0.232,0.332
405,0.829,0.323
407,1.029,0.32
408,-0.259,0.354
409,0.157,0.32
410,-0.249,0.384
411,-0.541,0.424
412,0.836,0.317
413,-0.396,0.42
414,0.608,0.311
415,-0.414,0.411
417,-1.045,0.536
421,-1.378,0.624
423,-0.396,0.408
425,0.691,0.307
426,0.238,0.329
428,1.612,0.313
429,0.732,0.306
435,1.412,0.317
437,-0.438,0.395
439,-1.378,0.624
441,-0.064,0.358
442,-0.206,0.359
443,-0.371,0.416
444,-1.378,0.624
445,-1.378,0.624
446,0.052,0.335
448,-0.575,0.432
450,-0.395,0.425
452,-0.079,0.362
453,1.683,0.315
454,2.066,0.325
455,1.734,0.315
458,-1.378,0.624
459,-0.411,0.414
460,0.162,0.324
461,-0.622,0.431
462,-1.378,0.624
464,-1.045,0.536
465,-1.378,0.624
470,-1.378,0.624
471,-0.081,0.372
472,-0.498,0.417
473,-0.501,0.431
474,-0.974,0.525
475,-0.42,0.402
478,1.086,0.309
479,-1.378,0.624
480,-1.378,0.624
481,-0.13,0.349
482,-0.196,0.369
483,-0.303,0.382
484,0.682,0.309
487,0.915,0.311
489,-0.833,0.488
491,-1.378,0.624
492,-0.743,0.474
493,0.464,0.315
495,-0.743,0.474
496,0.25,0.33
499,1.883,0.321
503,-1.378,0.624
504,-1.378,0.624
505,-1.378,0.624
506,0.052,0.35
507,0.287,0.325
509,0.215,0.344
510,-0.504,0.418
512,0.714,0.313
513,-1.045,0.536
515,-0.135,0.372
516,-0.852,0.503
517,-1.045,0.536
518,0.165,0.349
519,0.769,0.31
522,-0.294,0.386
524,1.417,0.311
525,0.065,0.346
526,0.253,0.321
527,-0.807,0.479
528,-1.25,0.628
532,-0.489,0.415
533,-0.322,0.412
535,0.922,0.313
538,1.372,0.355
539,-1.061,0.62
541,1.158,0.306
542,0.885,0.321
544,-0.47,0.436
545,0.784,0.315
546,1.54,0.319
548,-1.095,0.548
550,-0.852,0.503
551,-0.622,0.455
552,-0.439,0.418
555,-1.046,0.531
557,1.109,0.31
558,-0.324,0.411
560,0.969,0.311
561,0.983,0.318
562,1.055,0.314
564,-1.378,0.624
565,-0.192,0.369
567,-0.489,0.415
568,0.572,0.319
570,-0.247,0.384
571,-0.841,0.489
573,-0.647,0.457
575,-0.509,0.403
576,1.435,0.321
578,-0.068,0.361
579,-0.196,0.375
581,-0.053,0.35
582,-0.852,0.503
583,0.49,0.313
584,-0.68,0.471
586,1.238,0.311
587,-0.068,0.365
588,-1.061,0.62
589,-0.09,0.374
591,-0.68,0.471
593,-0.251,0.399
595,-1.378,0.624
596,-0.164,0.366
600,1.293,0.313
601,-1.378,0.624
603,1.049,0.305
604,1.411,0.313
605,-1.378,0.624
608,-0.448,0.412
609,0.401,0.327
610,-0.807,0.479
612,1.382,0.315
613,1.287,0.311
614,0.347,0.33
617,1.679,0.314
619,0.006,0.342
622,0.066,0.34
623,0.163,0.338
625,-0.291,0.413
626,0.181,0.338
627,1.01,0.326
628,-0.42,0.396
632,0.618,0.332
634,1.373,0.309
635,-0.974,0.525
636,1.724,0.324
637,0.542,0.315
638,0.062,0.344
640,0.295,0.338
642,-0.305,0.394
643,0.436,0.33
646,0.082,0.359
647,-0.144,0.421
648,0.208,0.352
649,0.067,0.337
650,0.944,0.329
651,-0.75,0.465
653,-1.046,0.531
656,-1.045,0.536
657,0.3,0.334
658,1.528,0.317
659,1.744,0.32
661,-0.891,0.507
662,1.547,0.316
663,0.305,0.332
664,-0.201,0.366
665,-0.841,0.489
666,0.865,0.318
669,-0.135,0.388
671,-0.294,0.399
672,-0.717,0.461
673,0.915,0.322
674,0.942,0.309
675,-0.821,0.498
676,2.633,0.374
677,0.422,0.338
679,1.073,0.321
680,-0.852,0.503
681,-0.743,0.474
682,-0.04,0.366
685,0.075,0.349
686,-0.195,0.402
687,1.565,0.315
688,0.733,0.327
690,0.208,0.339
691,-0.677,0.462
692,0.477,0.323
693,0.17,0.355
694,0.186,0.347
697,0.768,0.309
699,0.238,0.339
700,-0.845,0.486
701,-0.712,0.468
702,0.14,0.349
703,0.433,0.334
704,-0.542,0.411
706,0.542,0.319
711,0.679,0.314
715,-1.045,0.536
717,0.719,0.328
719,-0.821,0.498
720,1.021,0.319
721,0.266,0.332
722,-1.378,0.624
723,0.273,0.341
724,1.557,0.319
727,0.757,0.311
733,1.421,0.312
734,-0.891,0.507
735,0.485,0.336
737,1.357,0.316
739,-0.807,0.479
740,-0.095,0.385
741,0.715,0.326
742,0.941,0.315
743,-0.244,0.373
744,0.727,0.304
746,0.153,0.36
747,0.435,0.329
749,-1.045,0.536
750,0.343,0.34
751,-0.261,0.394
753,-1.378,0.624
754,0.09,0.362
759,-0.625,0.415
760,0.504,0.338
761,2.035,0.336
762,1.612,0.327
763,-0.833,0.488
764,-0.974,0.525
765,-0.237,0.389
767,-0.289,0.403
768,-0.97,0.511
769,-0.655,0.444
770,-1.046,0.531
771,0.513,0.314
772,1.58,0.314
773,0.011,0.377
774,0.873,0.307
780,-0.845,0.486
781,0.277,0.322
782,-1.378,0.624
783,-0.255,0.366
784,-0.017,0.345
787,-1.378,0.624
789,-0.494,0.432
790,0.308,0.338
791,-1.045,0.536
798,-1.046,0.531
800,0.262,0.347
801,0.291,0.35
802,-1.378,0.624
804,0.094,0.348
805,-0.11,0.363
806,0.162,0.342
807,0.902,0.321
808,-1.378,0.624
809,1.322,0.318
810,-0.465,0.416
811,-0.538,0.431
812,1.124,0.311
813,-0.677,0.462
814,-0.821,0.498
815,0.243,0.336
816,0.064,0.362
817,0.672,0.316
818,-0.974,0.525
820,-1.046,0.531
821,-0.57,0.433
822,-0.852,0.503
823,1.517,0.32
824,1.229,0.31
825,1.181,0.307
826,0.287,0.336
827,-0.393,0.391
828,0.603,0.31
829,0.413,0.323
830,-1.378,0.624
831,-1.378,0.624
835,-0.161,0.373
836,-0.807,0.479
838,0.42,0.315
839,1.308,0.31
840,-1.378,0.624
841,-0.852,0.503
842,0.746,0.308
843,0.873,0.32
844,0.243,0.324
847,-0.852,0.503
848,0.012,0.355
849,-1.095,0.548
850,0.307,0.327
851,-0.276,0.384
852,-0.75,0.465
853,0.684,0.312
854,0.487,0.322
855,0.178,0.348
856,-0.974,0.525
858,-1.25,0.628
859,-0.239,0.369
860,-0.449,0.403
862,-1.378,0.624
863,1.658,0.316
865,-0.891,0.507
866,0.209,0.347
867,1.374,0.306
869,0.795,0.325
870,0.268,0.342
871,0.131,0.324
872,-0.153,0.357
873,-1.045,0.536
874,1.026,0.314
875,-0.148,0.355
880,-0.587,0.452
882,-0.406,0.384
883,0.347,0.34
884,-0.754,0.463
887,-0.563,0.438
888,1.056,0.319
889,0.892,0.314
890,0.132,0.348
10177,-1.045,0.536
892,-0.426,0.416
893,0.512,0.304
894,0.06,0.376
895,-0.475,0.435
896,-1.378,0.624
897,1.939,0.322
898,1.128,0.306
899,0.486,0.325
900,-0.57,0.433
901,-0.57,0.433
902,1.367,0.318
903,0.437,0.317
