ff_id,SC15,SC15_SE
1,-1.055,0.471
2,-0.121,0.496
4,-0.392,0.478
5,-0.774,0.471
6,-0.631,0.482
8,-1.106,0.457
11,-0.084,0.491
13,-0.563,0.469
16,0.911,0.655
19,-0.774,0.471
20,-2.46,0.515
21,0.911,0.655
22,0.357,0.55
24,0.911,0.655
26,-0.894,0.468
28,0.357,0.55
29,-0.144,0.497
30,-1.322,0.449
31,-0.584,0.475
38,-0.121,0.496
41,-1.085,0.459
42,0.911,0.655
43,0.911,0.655
45,0.911,0.655
47,-2.046,0.46
48,-0.144,0.497
49,0.911,0.655
52,0.357,0.55
54,0.911,0.655
55,-0.683,0.468
58,0.911,0.655
59,0.911,0.655
61,-0.144,0.497
63,-0.062,0.491
66,0.911,0.655
68,0.911,0.655
69,-0.144,0.497
70,-0.062,0.491
71,0.911,0.655
73,0.25,0.521
74,0.911,0.655
75,0.226,0.519
77,-0.121,0.496
78,-2.656,0.542
79,0.911,0.655
81,-0.144,0.497
82,0.357,0.55
83,0.25,0.521
84,-0.631,0.482
86,0.911,0.655
87,0.25,0.521
88,0.226,0.519
89,-0.776,0.463
91,-0.121,0.496
95,-0.798,0.47
96,-0.121,0.496
97,-0.533,0.48
98,-0.747,0.471
100,0.25,0.521
101,-0.011,0.511
103,-1.021,0.462
104,-2.46,0.515
105,-1.244,0.471
106,-0.121,0.496
107,-0.207,0.485
109,-0.207,0.485
110,-0.392,0.478
112,0.911,0.655
114,-0.774,0.471
116,0.357,0.55
117,-0.011,0.511
118,-0.415,0.48
120,-1.12,0.455
122,-0.144,0.497
126,0.911,0.655
127,-0.207,0.485
128,-0.584,0.475
130,-0.121,0.496
132,-0.207,0.485
133,-0.144,0.497
135,-0.415,0.48
136,-0.465,0.472
137,-1.531,0.442
139,-0.774,0.471
144,-0.533,0.48
146,-0.392,0.478
147,-0.533,0.48
148,0.357,0.55
151,0.417,0.55
156,0.357,0.55
158,-0.264,0.483
159,0.911,0.655
160,0.911,0.655
161,-1.555,0.513
162,-0.121,0.496
164,0.417,0.55
165,-0.774,0.471
166,-0.517,0.476
167,-0.533,0.48
168,0.417,0.55
170,-1.776,0.454
171,0.911,0.655
172,0.417,0.55
173,-0.533,0.48
175,0.911,0.655
178,0.911,0.655
179,-0.144,0.497
181,0.011,0.506
182,0.357,0.55
185,0.25,0.521
187,-0.776,0.463
188,-0.533,0.48
190,0.911,0.655
191,0.011,0.506
194,0.911,0.655
195,-0.533,0.48
197,0.25,0.521
198,-0.392,0.478
200,-1.12,0.455
202,-1.776,0.454
203,0.25,0.521
204,-0.011,0.511
205,-1.461,0.447
207,-2.293,0.508
209,-0.798,0.47
210,0.25,0.521
211,0.911,0.655
212,-0.798,0.47
216,-0.774,0.471
217,0.055,0.518
218,0.911,0.655
219,-0.774,0.471
221,0.417,0.55
222,-0.465,0.472
227,0.25,0.521
228,0.911,0.655
231,0.357,0.55
232,-1.055,0.471
237,0.357,0.55
238,0.226,0.519
239,-0.121,0.496
242,0.911,0.655
243,-1.271,0.472
244,0.911,0.655
245,-0.798,0.47
246,-0.392,0.478
248,-1.991,0.469
249,-0.465,0.472
250,-0.701,0.462
251,-1.644,0.457
252,0.357,0.55
253,-0.415,0.48
254,0.357,0.55
255,-0.121,0.496
259,0.417,0.55
263,0.25,0.521
267,-1.34,0.447
269,0.357,0.55
271,0.25,0.521
272,0.911,0.655
274,-1.722,0.451
275,-0.533,0.48
276,-0.392,0.478
277,-0.936,0.468
279,-1.02,0.477
280,0.911,0.655
281,-0.867,0.466
287,-1.501,0.459
288,0.911,0.655
291,-0.533,0.48
292,-0.533,0.48
293,0.226,0.519
294,0.911,0.655
295,-0.533,0.48
296,0.357,0.55
297,-2.342,0.496
298,-0.774,0.471
299,-1.398,0.469
301,-0.144,0.497
302,0.911,0.655
304,-0.44,0.481
305,-0.533,0.48
306,-0.533,0.48
307,-0.207,0.485
309,-0.207,0.485
312,-0.798,0.47
313,-1.461,0.447
315,-0.207,0.485
317,-0.465,0.472
318,-1.12,0.455
319,0.911,0.655
320,-0.533,0.48
321,-1.264,0.452
322,-0.774,0.471
325,-1.759,0.471
326,0.25,0.521
327,-0.774,0.471
330,0.911,0.655
331,-0.533,0.48
332,0.911,0.655
334,-0.121,0.496
335,0.911,0.655
336,-0.438,0.477
337,0.357,0.55
339,-0.121,0.496
340,0.357,0.55
342,-0.533,0.48
343,-0.584,0.475
344,-0.989,0.475
346,-0.465,0.472
348,-1.041,0.448
349,-1.34,0.447
351,-1.037,0.46
353,-0.533,0.48
354,0.25,0.521
355,0.911,0.655
358,-0.207,0.485
360,0.911,0.655
364,-1.021,0.462
366,0.357,0.55
367,-0.121,0.496
368,-0.062,0.491
369,0.911,0.655
371,-0.392,0.478
375,-0.207,0.485
376,0.357,0.55
377,0.911,0.655
378,0.25,0.521
379,0.911,0.655
380,-1.085,0.459
381,-0.144,0.497
383,0.357,0.55
385,-0.144,0.497
386,0.911,0.655
388,0.226,0.519
389,-1.569,0.465
390,-0.084,0.491
391,0.25,0.521
392,-0.207,0.485
395,0.911,0.655
397,0.911,0.655
398,-1.322,0.449
399,0.357,0.55
401,0.911,0.655
402,-0.533,0.48
403,0.911,0.655
404,-0.062,0.491
405,-0.392,0.478
407,-1.037,0.46
408,-1.552,0.474
409,0.357,0.55
410,-0.121,0.496
411,-0.392,0.478
412,-0.415,0.48
413,-1.021,0.462
414,0.911,0.655
415,0.911,0.655
417,0.357,0.55
421,0.417,0.55
423,0.911,0.655
425,0.911,0.655
426,0.226,0.519
427,0.911,0.655
428,-1.555,0.461
429,-1.322,0.449
435,-1.327,0.466
437,0.25,0.521
439,0.25,0.521
441,-1.58,0.456
442,-0.144,0.497
444,0.911,0.655
445,0.911,0.655
446,0.911,0.655
448,0.226,0.519
450,0.911,0.655
452,-0.392,0.478
453,0.25,0.521
454,-0.45,0.47
455,0.911,0.655
458,-0.533,0.48
459,0.911,0.655
460,-0.533,0.48
461,-0.207,0.485
462,0.911,0.655
464,0.911,0.655
465,-0.121,0.496
470,-0.416,0.479
471,0.911,0.655
472,-0.144,0.497
473,0.911,0.655
474,0.911,0.655
475,-0.011,0.511
478,-0.774,0.471
479,0.911,0.655
480,-0.44,0.481
481,0.911,0.655
