ff_id,EXT9,EXT9_SE,city
2,0.979,0.244,1
4,-0.12,0.335,1
5,1.635,0.205,1
6,-0.846,0.474,1
7,1.324,0.228,1
8,0.481,0.259,1
11,-1.126,0.583,1
19,0.745,0.252,1
20,0.647,0.265,1
22,-1.209,0.583,1
23,-0.11,0.326,1
24,-0.14,0.331,1
31,0.674,0.252,1
34,-0.037,0.313,1
38,1.043,0.233,1
42,1.013,0.229,1
43,-1.209,0.583,1
44,-0.846,0.474,1
45,-0.264,0.365,1
46,-0.249,0.345,1
47,-1.209,0.583,1
49,-1.209,0.583,1
52,-0.092,0.324,1
56,0.001,0.315,1
58,0.051,0.308,1
59,0.616,0.255,1
63,-0.627,0.421,1
66,-1.209,0.583,1
68,-1.209,0.583,1
69,0.445,0.261,1
73,1.721,0.211,1
74,0.463,0.252,1
75,0.344,0.286,1
77,0.489,0.272,1
83,-1.209,0.583,1
86,0.271,0.281,1
87,-1.209,0.583,1
88,0.616,0.257,1
89,-1.209,0.583,1
90,0.005,0.32,1
91,0.621,0.255,1
93,0.1,0.31,1
95,-0.972,0.52,1
96,-0.7,0.441,1
97,-0.11,0.328,1
98,0.27,0.274,1
*,1.055,0.232,1
100,1.382,0.228,1
101,0.962,0.24,1
102,1.511,0.214,1
103,0.415,0.277,1
104,0.84,0.25,1
105,-0.002,0.306,1
106,-0.474,0.393,1
107,-0.651,0.416,1
109,-0.846,0.474,1
110,0.731,0.334,1
112,0.17,0.297,1
116,-0.846,0.474,1
117,0.914,0.226,1
118,0.253,0.296,1
122,0.136,0.29,1
123,0.49,0.256,1
125,0.248,0.286,1
126,-0.514,0.398,1
127,-1.209,0.583,1
128,-0.824,0.465,1
130,-1.209,0.583,1
132,0.152,0.303,1
133,-0.765,0.448,1
135,-1.209,0.583,1
137,0.012,0.31,1
139,0.319,0.275,1
144,-0.991,0.518,1
146,-1.209,0.583,1
147,-0.421,0.386,1
148,-0.098,0.313,1
149,0.789,0.254,1
150,0.35,0.288,1
151,-0.622,0.41,1
152,-0.429,0.392,1
156,0.552,0.277,1
158,0.44,0.278,1
159,0.856,0.245,1
160,0.159,0.295,1
161,0.643,0.259,1
162,0.325,0.284,1
164,-0.538,0.396,1
165,1.121,0.234,1
166,-0.609,0.426,1
168,-0.068,0.328,1
171,1.001,0.243,1
172,-1.209,0.583,1
175,0.49,0.279,1
177,0.834,0.247,1
179,1.23,0.227,1
181,0.046,0.3,1
182,0.608,0.262,1
183,-1.209,0.583,1
185,-0.352,0.368,1
187,-1.209,0.583,1
191,-1.209,0.583,1
195,0.654,0.261,1
197,1.016,0.241,1
198,0.931,0.237,1
200,0.739,0.244,1
202,0.508,0.26,1
203,-0.156,0.332,1
204,2.311,0.209,1
205,1.571,0.217,1
206,0.557,0.269,1
207,-1.209,0.583,1
210,-0.093,0.322,1
213,-0.263,0.346,1
216,-1.209,0.583,1
217,-1.209,0.583,1
218,0.951,0.246,1
219,-0.584,0.413,1
221,-0.672,0.425,1
222,0.163,0.29,1
226,-0.086,0.329,1
228,1.014,0.236,1
230,-1.209,0.583,1
231,0.203,0.322,1
232,1.298,0.228,1
234,-0.174,0.346,1
237,-0.247,0.346,1
238,0.476,0.275,1
239,0.307,0.283,1
242,-0.991,0.518,1
243,1.331,0.22,1
244,-1.209,0.583,1
245,0.629,0.264,1
246,-0.846,0.474,1
248,0.409,0.277,1
249,-0.148,0.332,1
250,0.355,0.273,1
252,0.576,0.339,1
253,-1.209,0.583,1
258,-0.183,0.339,1
263,0.782,0.25,1
