ff_id,PAF,PAF_SE,city
1,0.073,0.376,1
2,-0.465,0.34,1
4,-1.662,0.306,1
5,-1.122,0.327,1
6,0.933,0.464,1
7,-1.033,0.327,1
8,-0.312,0.348,1
11,-0.901,0.33,1
13,-0.686,0.339,1
16,1.56,0.606,1
19,-1.117,0.322,1
20,-1.006,0.32,1
21,-0.269,0.361,1
22,-0.417,0.336,1
24,0.592,0.424,1
26,-0.72,0.331,1
28,0.426,0.402,1
29,0.206,0.39,1
30,-1.575,0.308,1
31,0.521,0.426,1
38,-1.216,0.324,1
41,0.526,0.41,1
42,-0.51,0.337,1
43,-1.29,0.317,1
45,1.56,0.606,1
47,-1.402,0.317,1
48,-1.606,0.305,1
49,1.089,0.502,1
52,-0.631,0.337,1
54,-0.237,0.343,1
55,-1.69,0.316,1
58,-0.42,0.343,1
59,1.56,0.606,1
61,0.215,0.386,1
63,0.136,0.385,1
66,-0.521,0.346,1
68,0.768,0.446,1
69,-0.012,0.368,1
70,1.56,0.606,1
71,1.56,0.606,1
73,-0.939,0.322,1
74,-0.239,0.355,1
75,-0.124,0.362,1
77,-0.242,0.35,1
78,-2.412,0.3,1
79,0.478,0.408,1
81,-0.006,0.372,1
82,-0.673,0.341,1
83,-0.605,0.335,1
84,0.046,0.357,1
86,-0.506,0.338,1
87,0.337,0.403,1
88,-0.745,0.327,1
89,-0.392,0.353,1
91,-0.973,0.33,1
95,0.066,0.366,1
96,-0.717,0.325,1
97,-1.875,0.305,1
98,-0.421,0.344,1
100,-0.835,0.334,1
101,-0.42,0.33,1
102,0.195,0.389,1
103,-0.884,0.326,1
104,-1.169,0.328,1
105,-0.935,0.323,1
106,0.823,0.463,1
107,-0.861,0.329,1
109,0.319,0.403,1
110,-0.403,0.345,1
112,-0.401,0.349,1
114,-0.384,0.348,1
116,0.938,0.465,1
117,-0.953,0.324,1
118,-0.442,0.337,1
120,-0.138,0.357,1
122,0.352,0.385,1
126,0.9,0.477,1
127,1.56,0.606,1
128,0.601,0.425,1
130,0.976,0.494,1
132,0.062,0.366,1
133,0.103,0.37,1
135,0.029,0.364,1
136,-0.17,0.36,1
137,-0.719,0.326,1
139,-1.452,0.316,1
144,0.463,0.421,1
146,-0.233,0.355,1
147,0.572,0.421,1
148,0.009,0.371,1
151,-0.211,0.361,1
156,0.145,0.386,1
158,-0.014,0.367,1
159,-0.355,0.341,1
160,-0.596,0.335,1
161,-0.369,0.354,1
162,0.441,0.385,1
164,0.393,0.411,1
165,-0.449,0.347,1
166,-0.216,0.344,1
167,-0.54,0.345,1
168,-1.606,0.31,1
170,-2.63,0.303,1
171,0.115,0.385,1
172,0.15,0.382,1
173,-0.146,0.366,1
175,0.17,0.387,1
178,1.56,0.606,1
179,-0.565,0.335,1
181,-1.165,0.317,1
182,-0.469,0.346,1
185,0.863,0.468,1
187,-0.445,0.328,1
188,-0.713,0.335,1
190,1.56,0.606,1
191,-0.773,0.329,1
194,0.997,0.501,1
195,0.823,0.463,1
197,-0.429,0.342,1
198,-0.049,0.373,1
200,-1.085,0.323,1
202,-1.022,0.323,1
203,-0.112,0.365,1
204,1.044,0.506,1
205,-1.39,0.314,1
207,1.039,0.489,1
