ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
1,-0.958,0.452,-0.161,0.98,-0.029,0.363,1
2,-0.209,0.47,-0.952,0.465,-0.473,0.332,1
4,-0.597,0.452,0.048,0.525,-1.634,0.3,1
5,-0.854,0.45,0.742,0.66,-1.13,0.319,1
6,-0.472,0.464,-0.988,0.495,0.735,0.431,1
7,-0.588,0.848,-0.172,0.988,-1.048,0.325,1
8,-1.071,0.437,0.236,0.567,-0.402,0.338,1
11,-0.282,0.462,-0.936,0.506,-0.877,0.323,1
13,-0.665,0.447,-0.16,0.98,-0.702,0.331,1
16,1.283,0.693,0.332,0.986,1.671,0.612,1
19,-0.886,0.45,-0.087,0.505,-1.145,0.314,1
20,-2.438,0.487,-0.917,0.47,-1.169,0.312,1
21,0.722,0.582,0.109,0.982,-0.153,0.361,1
22,0.279,0.513,0.854,0.679,-0.392,0.33,1
23,0.064,0.986,0.311,0.578,0.051,0.991,1
24,0.921,0.612,-0.304,0.504,0.658,0.424,1
26,-0.913,0.446,-0.659,0.475,-0.791,0.323,1
28,0.417,0.527,0.099,0.982,0.424,0.393,1
29,-0.142,0.473,-0.804,0.481,0.179,0.381,1
30,-1.47,0.43,-0.361,0.98,-1.649,0.3,1
31,-0.468,0.456,-0.099,0.495,0.413,0.407,1
34,-0.026,0.984,-0.126,0.518,-0.021,0.99,1
38,-0.342,0.466,-1.161,0.454,-1.195,0.317,1
41,-0.956,0.439,-0.062,0.505,0.336,0.384,1
42,0.696,0.576,0.887,0.684,-0.42,0.333,1
43,0.434,0.542,-0.47,0.475,-1.194,0.311,1
44,-0.032,0.984,-0.156,0.515,-0.026,0.99,1
45,1.251,0.683,-0.018,0.544,1.653,0.607,1
46,0.064,0.986,0.311,0.578,0.051,0.991,1
47,-2.143,0.444,-1.113,0.454,-1.522,0.31,1
48,-0.392,0.467,0.762,0.663,-1.589,0.298,1
49,1.142,0.655,0.541,0.599,1.202,0.511,1
52,0.204,0.508,0.024,0.521,-0.578,0.331,1
54,0.709,0.579,0.103,0.982,-0.202,0.337,1
55,-0.887,0.447,-0.265,0.98,-1.655,0.31,1
56,-0.176,0.983,-0.856,0.465,-0.141,0.989,1
58,0.699,0.576,0.474,0.591,-0.318,0.34,1
59,1.177,0.668,-0.861,0.455,1.613,0.599,1
61,-0.113,0.474,-0.006,0.981,0.176,0.376,1
63,-0.009,0.47,0.34,0.561,0.13,0.376,1
66,0.612,0.564,-0.593,0.468,-0.431,0.342,1
68,1.003,0.627,0.135,0.529,0.845,0.448,1
69,-0.116,0.473,0.835,0.675,-0.025,0.36,1
70,0.207,0.485,0.134,0.982,1.393,0.554,1
71,1.253,0.683,-0.002,0.498,1.654,0.607,1
73,0.019,0.483,-0.961,0.455,-0.909,0.315,1
74,0.639,0.568,-1.251,0.489,-0.181,0.351,1
75,0.133,0.486,-0.432,0.477,-0.097,0.355,1
77,-0.149,0.471,-0.419,0.509,-0.248,0.342,1
78,-2.882,0.533,-0.658,0.981,-2.53,0.295,1
79,0.915,0.612,0.189,0.983,0.531,0.405,1
81,-0.149,0.473,-0.027,0.981,-0.028,0.363,1
82,0.196,0.509,-0.011,0.981,-0.605,0.335,1
83,0.108,0.488,-0.253,0.509,-0.583,0.328,1
84,-0.572,0.462,-0.098,0.98,-0.046,0.346,1
86,0.696,0.576,0.887,0.684,-0.419,0.333,1
87,0.339,0.502,0.885,0.684,0.368,0.398,1
88,0.025,0.482,-0.231,0.499,-0.723,0.32,1
89,-0.799,0.441,-0.166,0.535,-0.425,0.344,1
90,-0.129,0.983,-0.628,0.476,-0.103,0.989,1
91,-0.294,0.467,-0.993,0.456,-0.952,0.323,1
93,0.178,0.989,0.865,0.686,0.142,0.993,1
95,-0.712,0.45,0.195,0.535,-0.039,0.353,1
96,-0.185,0.47,0.807,0.67,-0.719,0.317,1
97,-0.796,0.456,-0.196,0.533,-1.843,0.299,1
98,-0.827,0.45,-1.92,0.518,-0.497,0.333,1
*,0.071,0.985,0.343,0.564,0.056,0.991,1
100,0.089,0.487,0.188,0.548,-0.781,0.327,1
101,-0.032,0.485,0.828,0.674,-0.428,0.322,1
102,0.21,0.851,0.869,0.683,0.2,0.39,1
103,-1.055,0.443,0.125,0.544,-0.924,0.318,1
104,-2.412,0.485,0.268,0.571,-1.29,0.32,1
105,-1.275,0.45,-0.054,0.518,-1.018,0.316,1
106,0.055,0.48,0.129,0.53,0.78,0.45,1
107,-0.387,0.46,-1.095,0.486,-0.865,0.322,1
109,-0.164,0.464,-0.295,0.515,0.286,0.393,1
110,-0.392,0.456,0.203,0.535,-0.417,0.336,1
112,0.66,0.571,-0.32,0.519,-0.298,0.346,1
114,-0.773,0.451,-0.159,0.98,-0.431,0.339,1
116,0.489,0.533,-0.518,0.457,0.885,0.447,1
117,-0.128,0.479,0.803,0.67,-0.945,0.317,1
118,-0.457,0.457,0.18,0.53,-0.49,0.329,1
120,-1.049,0.435,0.755,0.662,-0.263,0.343,1
122,-0.096,0.473,-0.153,0.512,0.304,0.375,1
123,0.178,0.989,0.865,0.686,0.142,0.993,1
125,0.178,0.989,0.865,0.686,0.142,0.993,1
126,1.023,0.632,-0.277,0.52,0.999,0.484,1
127,0.001,0.469,-0.619,0.456,1.329,0.543,1
128,-0.465,0.456,-0.364,0.505,0.492,0.408,1
130,0.109,0.483,0.886,0.684,0.915,0.474,1
132,-0.239,0.462,-1.09,0.478,0.016,0.356,1
133,-0.163,0.472,-0.77,0.455,0.054,0.36,1
135,-0.381,0.458,0.193,0.53,-0.031,0.353,1
136,-0.456,0.452,0.204,0.535,-0.202,0.351,1
137,-1.549,0.424,-0.876,0.456,-0.849,0.318,1
139,-0.964,0.449,-0.818,0.473,-1.474,0.309,1
