ff_id,SC9,SC9_SE,city
2,-0.931,0.468,1
4,0.087,0.528,1
5,0.865,0.686,1
6,-0.968,0.497,1
8,0.311,0.579,1
11,-0.865,0.51,1
19,-0.003,0.515,1
20,-0.851,0.471,1
22,0.865,0.686,1
23,0.311,0.579,1
24,-0.375,0.503,1
26,-0.6,0.479,1
29,-0.82,0.484,1
31,-0.079,0.501,1
34,-0.077,0.525,1
38,-1.136,0.456,1
41,-0.003,0.515,1
42,0.865,0.686,1
43,-0.504,0.475,1
44,-0.178,0.513,1
45,-0.159,0.538,1
46,0.311,0.579,1
47,-1.027,0.456,1
48,0.865,0.686,1
49,0.448,0.593,1
52,0.068,0.532,1
56,-0.861,0.465,1
58,0.448,0.593,1
59,-0.937,0.457,1
63,0.322,0.56,1
66,-0.591,0.471,1
68,0.054,0.525,1
69,0.865,0.686,1
71,-0.079,0.501,1
73,-0.966,0.457,1
74,-1.288,0.493,1
75,-0.423,0.481,1
77,-0.433,0.511,1
83,-0.27,0.51,1
86,0.865,0.686,1
87,0.865,0.686,1
88,-0.241,0.499,1
89,-0.159,0.538,1
90,-0.618,0.477,1
91,-0.997,0.458,1
93,0.865,0.686,1
95,0.214,0.536,1
96,0.865,0.686,1
97,-0.159,0.538,1
98,-1.9,0.52,1
*,0.322,0.56,1
100,0.176,0.549,1
101,0.865,0.686,1
102,0.865,0.686,1
103,0.176,0.549,1
104,0.448,0.593,1
105,0.068,0.532,1
106,0.087,0.528,1
107,-1.122,0.488,1
109,-0.311,0.516,1
110,0.214,0.536,1
112,-0.29,0.526,1
116,-0.56,0.459,1
117,0.865,0.686,1
118,0.246,0.543,1
120,0.865,0.686,1
122,-0.178,0.513,1
123,0.865,0.686,1
125,0.865,0.686,1
126,-0.29,0.526,1
127,-0.657,0.458,1
128,-0.384,0.506,1
130,0.865,0.686,1
132,-1.081,0.481,1
133,-0.767,0.457,1
135,0.246,0.543,1
136,0.214,0.536,1
137,-0.831,0.458,1
139,-0.751,0.477,1
144,-2.277,0.567,1
146,0.865,0.686,1
147,0.865,0.686,1
148,0.865,0.686,1
149,-0.133,0.557,1
150,0.294,0.629,1
151,-0.149,0.488,1
152,0.054,0.525,1
156,-0.796,0.458,1
158,0.311,0.579,1
159,0.214,0.536,1
160,-0.198,0.507,1
161,-0.561,0.471,1
162,-1.156,0.457,1
164,-0.513,0.479,1
165,-0.321,0.49,1
166,-0.198,0.507,1
167,-1.307,0.457,1
168,-0.148,0.516,1
170,0.196,0.569,1
171,0.865,0.686,1
172,-0.077,0.525,1
175,0.196,0.569,1
177,0.01,0.561,1
179,0.176,0.549,1
181,-1.318,0.493,1
182,0.865,0.686,1
183,0.865,0.686,1
185,-0.56,0.459,1
187,-0.281,0.485,1
188,0.246,0.543,1
191,0.01,0.561,1
195,-0.073,0.518,1
197,-0.148,0.516,1
198,0.865,0.686,1
200,0.865,0.686,1
202,-0.865,0.51,1
203,-0.003,0.515,1
204,0.865,0.686,1
205,-0.692,0.504,1
206,-1.163,0.499,1
207,-1.551,0.517,1
210,-0.987,0.506,1
213,0.865,0.686,1
216,-0.579,0.509,1
217,0.865,0.686,1
218,0.196,0.569,1
219,-0.178,0.513,1
221,-0.579,0.509,1
222,0.322,0.56,1
226,0.865,0.686,1
228,0.448,0.593,1
230,-0.82,0.484,1
231,0.865,0.686,1
232,0.068,0.532,1
234,0.865,0.686,1
238,-0.101,0.495,1
239,0.865,0.686,1
242,0.047,0.541,1
243,-1.532,0.486,1
244,0.448,0.593,1
245,-0.339,0.484,1
246,0.311,0.579,1
248,-0.607,0.486,1
249,-0.077,0.525,1
250,0.865,0.686,1
251,-0.906,0.458,1
252,-0.504,0.475,1
253,-1.251,0.471,1
258,-0.451,0.49,1
263,0.322,0.56,1
264,0.448,0.593,1
267,-2.277,0.567,1
269,-1.177,0.487,1
271,0.246,0.543,1
272,0.054,0.525,1
274,-1.193,0.473,1
275,0.865,0.686,1
276,0.865,0.686,1
277,-0.451,0.49,1
278,-0.56,0.459,1
279,-0.053,0.519,1
280,0.865,0.686,1
285,0.196,0.569,1
287,0.865,0.686,1
288,0.865,0.686,1
289,-0.339,0.475,1
291,0.214,0.536,1
292,-0.513,0.504,1
293,0.01,0.561,1
294,0.865,0.686,1
295,-0.488,0.489,1
296,-0.101,0.495,1
297,-0.652,0.47,1
298,0.246,0.543,1
299,-1.947,0.515,1
301,-0.373,0.483,1
304,0.054,0.525,1
306,-0.339,0.475,1
312,-0.281,0.485,1
313,0.311,0.579,1
315,0.865,0.686,1
317,0.865,0.686,1
318,-0.865,0.51,1
319,-0.513,0.504,1
320,0.865,0.686,1
321,0.865,0.686,1
322,0.865,0.686,1
324,-0.101,0.495,1
325,-1.16,0.492,1
326,-0.427,0.473,1
327,0.246,0.543,1
330,-0.604,0.474,1
331,-0.579,0.509,2
333,0.865,0.686,2
334,0.865,0.686,2
335,0.865,0.686,2
