ff_id,SC15,SC15_SE,SC9,SC9_SE,Int15,Int15_SE,Ext15,Ext15_SE,Int9,Int9_SE,Ext9,Ext9_SE,city
1,-1.11,0.457,-0.195,0.982,0.843,0.3,-0.63,0.456,0.17,0.985,-0.103,0.966,1
2,-0.246,0.477,-1.03,0.447,0.004,0.331,1.474,0.272,0.041,0.405,0.981,0.236,1
4,-0.462,0.461,-0.134,0.486,0.876,0.307,-0.718,0.442,0.397,0.356,-0.102,0.319,1
5,-0.823,0.455,0.626,0.651,0.883,0.306,0.199,0.397,2.277,0.26,1.735,0.199,1
6,-0.388,0.475,-1.11,0.478,-0.771,0.493,-1.02,0.488,-0.738,0.529,-0.901,0.455,1
7,-0.294,0.909,-0.264,0.983,0.34,0.308,0.672,0.343,1.941,0.242,1.398,0.218,1
8,-0.909,0.449,0.26,0.576,-0.417,0.396,-0.673,0.456,1.148,0.288,0.577,0.247,1
11,0.058,0.482,-0.716,0.496,-1.349,0.61,-1.491,0.525,-1.311,0.655,-1.4,0.608,1
13,-0.584,0.459,-0.149,0.982,-0.06,0.356,1.142,0.306,0.043,0.985,0.355,0.962,1
16,1.311,0.723,0.362,0.988,-1.681,0.688,-2.238,0.625,-0.35,0.99,-0.652,0.974,1
19,-0.817,0.455,-0.073,0.507,0.538,0.32,0.334,0.389,0.947,0.3,0.838,0.24,1
20,-2.559,0.501,-1.018,0.45,2.031,0.315,0.815,0.324,0.355,0.364,0.628,0.256,1
21,0.923,0.641,0.156,0.985,-1.16,0.545,0.943,0.286,-0.2,0.988,0.212,0.962,1
22,0.409,0.543,0.947,0.707,0.165,0.354,0.439,0.374,-1.382,0.654,-1.364,0.58,1
23,0.082,0.978,0.356,0.59,-0.092,0.986,-0.003,0.959,-0.35,0.472,-0.143,0.32,1
24,1.118,0.675,-0.346,0.478,-1.476,0.602,-1.232,0.474,0.589,0.328,-0.048,0.309,1
26,-0.929,0.455,-0.779,0.455,0.237,0.33,0.234,0.373,0.152,0.98,0.208,0.957,1
28,0.258,0.531,-0.046,0.983,-0.228,0.386,2.503,0.291,-0.004,0.986,0.654,0.962,1
29,0.056,0.494,-0.7,0.473,-1.347,0.579,-0.848,0.454,-0.127,0.983,-0.089,0.959,1
30,-1.469,0.436,-0.359,0.981,1.775,0.309,1.378,0.302,0.357,0.985,0.432,0.962,1
31,-0.542,0.458,-0.138,0.493,0.012,0.348,-0.995,0.465,1.705,0.255,0.839,0.235,1
34,-0.017,0.977,-0.102,0.517,0.001,0.985,0.013,0.958,-0.049,0.423,-0.012,0.301,1
38,-0.223,0.478,-1.175,0.438,0.709,0.303,-0.683,0.443,0.966,0.298,1.079,0.225,1
41,-1.034,0.447,-0.054,0.509,-0.125,0.365,0.543,0.365,0.031,0.981,0.215,0.957,1
42,0.843,0.621,0.818,0.684,0.055,0.347,-0.135,0.407,1.038,0.297,1.067,0.222,1
43,0.815,0.616,-0.508,0.455,-0.209,0.357,0.313,0.389,-1.323,0.656,-1.29,0.564,1
44,0.081,0.978,-0.092,0.517,-0.04,0.985,-0.251,0.965,-0.356,0.459,-0.768,0.431,1
