"","ff_id","IH3int5","IH5int5","pcg5idstat"
"1",1,1,NA,61
"2",2,NA,NA,61
"3",3,NA,NA,NA
"4",4,1,NA,61
"5",5,1,1,61
"6",6,1,1,61
"7",7,1,NA,61
"8",8,1,1,61
"9",9,NA,NA,NA
"10",10,NA,NA,NA
"11",11,1,NA,61
"12",12,1,NA,61
"13",13,NA,NA,63
"14",14,1,NA,63
"15",15,NA,NA,61
"16",16,1,NA,NA
"17",17,NA,NA,NA
"18",18,1,NA,NA
"19",19,1,NA,61
"20",20,NA,NA,63
"21",21,1,NA,61
"22",22,1,NA,61
"23",23,1,NA,61
"24",24,1,NA,61
"25",25,NA,NA,NA
"26",26,1,1,61
"27",27,1,NA,61
"28",28,NA,NA,NA
"29",29,1,NA,61
"30",30,1,NA,61
"31",31,1,1,61
"32",32,NA,NA,NA
"33",33,1,NA,61
"34",34,1,NA,61
"35",35,1,1,62
"36",36,1,NA,NA
"37",37,1,NA,NA
"38",38,1,1,61
"39",39,NA,NA,61
"40",40,NA,NA,NA
"41",41,1,1,61
"42",42,1,NA,61
"43",43,1,1,61
"44",44,1,NA,61
"45",45,1,NA,62
"46",46,1,1,61
"47",47,1,NA,61
"48",48,1,NA,61
"49",49,1,1,61
"50",50,1,NA,61
"51",51,NA,NA,61
"52",52,1,1,61
"53",53,NA,NA,NA
"54",54,NA,NA,61
"55",55,1,1,61
"56",56,1,NA,61
"57",57,NA,NA,61
"58",58,1,NA,61
"59",59,1,NA,61
"60",60,NA,NA,NA
"61",61,NA,NA,61
"62",62,NA,NA,61
"63",63,1,2,61
"64",64,1,NA,63
"65",65,1,NA,NA
"66",66,1,NA,61
"67",67,NA,NA,61
"68",68,NA,NA,61
"69",69,1,1,61
"70",70,1,NA,61
"71",71,1,NA,61
"72",72,NA,NA,NA
"73",73,1,NA,61
"74",74,1,NA,61
"75",75,1,NA,61
"76",76,NA,NA,NA
"77",77,1,NA,61
"78",78,NA,NA,63
"79",79,1,NA,61
"80",80,1,1,NA
"81",81,1,NA,61
"82",82,1,NA,61
"83",83,2,NA,61
"84",84,1,NA,61
"85",85,NA,NA,NA
"86",86,1,1,61
"87",87,1,NA,63
"88",88,1,1,61
"89",89,1,NA,61
"90",90,1,1,61
"91",91,NA,NA,61
"92",92,NA,NA,NA
"93",93,1,NA,61
"94",94,NA,NA,61
"95",95,NA,NA,61
"96",96,NA,NA,61
"97",97,1,1,61
"98",98,NA,NA,61
"99",99,NA,NA,61
"100",100,1,NA,61
"101",101,1,NA,61
"102",102,1,NA,61
"103",103,NA,NA,61
"104",104,NA,NA,62
